feature,importance,category,cumulative_importance
Episode_Length_minutes,0.8897311733758742,Content,0.8897311733758742
Length_vs_Genre_Mean,0.01090612728668203,Content,0.9006373006625562
Ad_Density,0.008030761704815155,Ads,0.9086680623673714
Ads_Length_Ratio,0.007854034043374935,Content,0.9165220964107463
Episode_Progress,0.005320633249095372,Temporal,0.9218427296598417
Star_Strategy_Score,0.005048874503286884,Interaction,0.9268916041631285
Maturity_Quality_Score,0.0048508720553513095,Content,0.9317424762184798
Host_Sentiment_Score,0.0043259709372259125,Host,0.9360684471557057
Podcast_Total_Episodes,0.0042121895526725925,Temporal,0.9402806367083782
Length_Timing_Score,0.003857878141716046,Content,0.9441385148500943
Content_Quality_Score,0.0032777525710680736,Content,0.9474162674211624
Day_Time_Combo,0.0031061268711127573,Publication,0.9505223942922751
Episode_Complexity,0.0031016029136979382,Content,0.9536239972059731
Host_vs_Genre_Median,0.0030021443349085085,Host,0.9566261415408817
Length_Sentiment_Interaction,0.0029267486969076772,Content,0.9595528902377893
Guest_vs_Host_Diff,0.0029084118126343913,Host,0.9624613020504237
Total_Star_Power,0.002850661713275319,Interaction,0.965311963763699
Guest_Sentiment_Score,0.002737702247782756,Guest,0.9680496660114818
Host_vs_Genre_Mean,0.002683406254162225,Host,0.970733072265644
Prime_Quality_Score,0.002507327202750099,Content,0.9732403994683941
Episode_Number_Log,0.0024902683778517533,Temporal,0.9757306678462458
Episode_Number,0.0024818590048385734,Temporal,0.9782125268510844
Guest_Host_Synergy,0.002268742530197223,Host,0.9804812693812817
Genre,0.0022477230041830333,Interaction,0.9827289923854647
Guest_Host_Ratio,0.0020375425048643086,Host,0.9847665348903291
Guest_Percentile,0.0016008259025850047,Guest,0.9863673607929141
Guest_Popularity_percentage,0.0015750802294898071,Guest,0.9879424410224039
Host_Popularity_percentage,0.0014466639031189578,Host,0.9893891049255229
Host_Popularity_Log,0.001422380989001786,Host,0.9908114859145247
Publication_Day_Encoded,0.0014135695254380114,Publication,0.9922250554399628
Host_Popularity_Squared,0.0013872219432855882,Host,0.9936122773832483
Host_Percentile,0.0013600438583509966,Host,0.9949723212415993
Publication_Time,0.0010400963319522826,Publication,0.9960124175735515
Guest_Boost_Potential,0.0005600767655378527,Guest,0.9965724943390893
Publication_Day,0.0005569186028523169,Publication,0.9971294129419417
Release_Strategy_Category,0.000495632290435351,Publication,0.997625045232377
Publication_Time_Encoded,0.00045201196566550176,Publication,0.9980770571980425
Host_Popularity_Binned,0.0002635633520385022,Host,0.998340620550081
Is_Prime_Day,0.00025091080009789215,Publication,0.9985915313501789
Ads_Weekend_Effect,0.0001429149236482648,Publication,0.9987344462738271
Host_Is_Established,0.00013673923513445082,Host,0.9988711855089616
Guest_Host_Mismatch,0.00012965418464785743,Host,0.9990008396936094
Is_Morning_Commute,0.00012122690272011587,Interaction,0.9991220665963295
Guest_Popularity_Binned,0.00010462710699737075,Guest,0.9992266937033268
Guest_Category,0.00010418139382001667,Guest,0.9993308750971469
Is_Weekend,9.249773203947577e-05,Publication,0.9994233728291864
Weekend_Prime_Score,8.707288977315293e-05,Publication,0.9995104457189595
Is_Weekend_Prime,8.606670243532559e-05,Publication,0.9995965124213948
Is_Prime_Time,4.707877962352984e-05,Publication,0.9996435912010183
Publication_Timing_Score,4.198385120762545e-05,Publication,0.9996855750522259
Ad_Intensity,3.636448749151114e-05,Ads,0.9997219395397174
Ads_Binned,3.630982466021274e-05,Ads,0.9997582493643776
Sentiment_Encoded,3.0292834440371605e-05,Content,0.999788542198818
Episode_Sentiment,2.8486338814689908e-05,Content,0.9998170285376327
Number_of_Ads,2.7010415942496717e-05,Ads,0.9998440389535752
Is_Positive_Sentiment,2.6842231474438306e-05,Content,0.9998708811850496
Host_Popularity_Quintile,2.5423411328220105e-05,Host,0.9998963045963779
Ad_Load_Category,2.2584177933550295e-05,Ads,0.9999188887743115
Has_Ads,1.877500359631863e-05,Ads,0.9999376637779078
Host_Category,1.6108828139748175e-05,Host,0.9999537726060476
Podcast_Maturity_Stage,1.3376469045004627e-05,Temporal,0.9999671490750925
Is_Mega_Guest,9.800674822714724e-06,Guest,0.9999769497499152
Episode_Length_Binned,7.328948755796032e-06,Content,0.999984278698671
Is_Optimal_Length,6.7433301220488595e-06,Content,0.9999910220287931
Host_Is_Rising_Star,5.412814226297213e-06,Host,0.9999964348430194
Has_Guest,3.5090522835333815e-06,Guest,0.9999999438953029
Is_Established_Episode,5.610469715442608e-08,Temporal,1.0
Is_Pilot_Episode,0.0,Temporal,1.0
Is_Early_Episode,0.0,Temporal,1.0
